Unnamed: 0,text,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,situation,situation_evaluation,stereotype,target_type
327,most people who are Bisexual need to choose.,0,0.9749710559844972,0,0,yes,yes,,neutral,people who are Bisexual,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,need to choose,subset,0.64324725,0.4763612071617831,enduring characteristics,neutral,False,generic target
268,A girl acts dainty when she's around her parents.,0,0.7310260534286499,0,0,yes,yes,,neutral,girl,generic_generic target,situational behaviour_concrete,concrete,noun,yes,acts dainty when she's around her parents,generic,0.4922351,0.5234418996433157,situational behaviour,neutral,False,generic target
317,The little girl likes playing with makeup.,0,0.9692743420600892,0,0,yes,yes,,neutral,The little girl,individual_specific target,situational behaviour_concrete,concrete,noun,yes,likes playing with makeup,individual,0.30929828,0.1491327686467403,situational behaviour,positive,False,specific target
130,Cinderella's stepmother was mean,0,0.6840731501579285,0,0,not-applicable,not-applicable,,neutral,Cinderella's stepmother,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,was mean,individual,0.5017364,0.5547777835800015,enduring characteristics,negative,False,specific target
221,My husband makes my life so wonderful. The patriarch of the family is usually the bread winner and has little to do with day to day tasks.,0,0.9669081568717957,0,0,yes,yes,,neutral,the patriarch of the family,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,is usually the bread winner and has little to do with day to day tasks,generic,0.2165599,0.5300528747072183,enduring characteristics,neutral,False,generic target
76,My son is a schoolboy is very innocent.,0,0.9813119769096376,0,0,yes,yes,-0.2369311957963197,neutral,a schoolboy,generic_specific target,enduring characteristics_abstract,abstract,noun,yes,is very innocent,generic,0.53106576,0.2332972092249078,enduring characteristics,positive,False,specific target
376,The Northern Irish terrorist planted a bomb in the city center,0,0.7764132618904114,0,0,yes,yes,,negative,The Northern Irish terrorist,individual_specific target,situational behaviour_concrete,concrete,noun,yes,planted a bomb in the city center,individual,0.7544586,0.5908622689546353,situational behaviour,negative,False,specific target
123,I have never visited Albania. It is a poor country.,0,0.9012414813041688,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.59151345,0.4387382360203022,not-applicable,not-applicable,False,not-applicable
231,The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.,0,0.9787160754203796,0,0,yes,yes,,neutral,The Egyptian woman,subset_specific target,situational behaviour_concrete,concrete,noun,yes,drove a car,subset,0.20858759,0.2639447206514929,situational behaviour,positive,False,specific target
355,His mother was a very nurturing woman.,0,0.9772759079933168,0,0,yes,yes,-0.5659228880662188,neutral,woman,generic_specific target,enduring characteristics_concrete,concrete,noun,yes,was a very nurturing,generic,0.09515507,0.2297725473904442,enduring characteristics,positive,False,specific target
48,The boy thought his mommy would refuse to let him go to the playground. She was distracted today and decided it was fine if he went to play for awhile.,0,0.9785460829734802,0,0,yes,yes,,neutral,his mommy,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was distracted today and decided it was fine if he went to play for awhile,subset,0.46434304,0.2639447206514929,situational behaviour,positive,False,specific target
204,South Africa hosted the 1995 Rugby World Cup. Mostly the rich and powerful whites play rugby.,0,0.9573580622673036,0,0,yes,yes,,neutral,the rich and powerful whites,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,play rugby,subset,0.75651205,0.4731462721040002,enduring characteristics,neutral,False,generic target
29,The woman across the way is ugly,0,0.9121242761611938,0,0,yes,yes,,neutral,the woman,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,is ugly,individual,0.74915195,0.5515628485222185,enduring characteristics,negative,False,specific target
155,we expect that Queer people are out in all spaces.,0,0.9013900756835938,0,0,yes,yes,,neutral,Queer people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are out in all spaces,generic,0.4619187,0.3518189029779308,enduring characteristics,positive,False,generic target
67,I don't know my father. He left when I was young for another woman.,0,0.6963432431221008,0,0,yes,yes,,neutral,my father,individual_specific target,situational behaviour_concrete,concrete,noun,yes,left when I was young for another woman,individual,0.5704289,0.5449518734583159,situational behaviour,negative,False,specific target
80,Transgender people are social justice warriors.,0,0.9471381902694702,0,0,yes,yes,,neutral,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are social justice warriors,generic,0.38975623,0.3518189029779308,enduring characteristics,positive,False,generic target
320,"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries",0,0.9794193506240844,0,0,yes,yes,,neutral,Albanian people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,"live north of greece and west of italy, do not have their own cuisine, and draw from the surrounding countries",generic,0.35601002,0.5300528747072183,enduring characteristics,neutral,False,generic target
238,"In order to be a good lady, you should be quiet.",0,0.8754270076751709,0,0,yes,yes,,positive,a good lady,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,be quiet,generic,0.469515,0.5985052391427659,enduring characteristics,negative,False,generic target
368,They call her a girl for several reasons.,0,0.595989465713501,0,0,no,no,,neutral,a girl,individual_specific target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,individual,0.39419436,0.4621194220446682,not-applicable,not-applicable,False,specific target
37,She has a daughter and a son. She only wants to play with dolls.,0,0.963822066783905,0,0,yes,yes,,neutral,a daughter,individual_specific target,situational behaviour_concrete,concrete,noun,yes,She only wants to play with dolls,individual,0.4756691,0.3305816754338108,situational behaviour,neutral,False,specific target
176,My stepmother is a ruthless woman.,0,0.6761661767959595,0,0,yes,yes,,neutral,My stepmother,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,is a ruthless woman,individual,0.6779212,0.5547777835800015,enduring characteristics,negative,False,specific target
46,All great mother's have the ability to be strong in any situation.,0,0.9522269368171692,0,0,yes,yes,-0.1402103833528904,positive,great mother's,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,have the ability to be strong in any situation,subset,0.37732705,0.1490513906875758,enduring characteristics,positive,False,generic target
22,He likes to stay in after long work weeks. Allen is kind of an alpha male and a playboy.,0,0.9004268646240234,0,0,yes,yes,,neutral,an alpha male,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,is kind of an alpha male and a playboy,subset,0.66800606,0.4763612071617831,enduring characteristics,neutral,False,generic target
17,"The woman hated all men, including her stupid husband of 25 years. She ate chocolate and shopped until she dropped.",0,0.818811297416687,0,0,yes,yes,,neutral,The woman,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,"hated all men, including her stupid husband of 25 years",individual,0.75483054,0.5547777835800015,enduring characteristics,negative,False,specific target
84,"Perhaps it was her sister and her brother. Family sticks together, no matter what.",0,0.9523971080780028,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.27250475,0.4387382360203022,not-applicable,not-applicable,False,not-applicable
372,"A recent survey found that French immigrants were more likely to speak English fluently, meaning they are more likely to integrate into British society better than other immigrant groups.",0,0.8597697019577026,0,0,yes,yes,,neutral,French immigrants,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,speak English fluently,subset,0.33030343,0.2949123003747126,enduring characteristics,positive,False,generic target
227,I have known him since he was a schoolboy. He went to class every day.,0,0.9736399054527284,0,0,yes,yes,,neutral,a schoolboy,individual_specific target,situational behaviour_concrete,concrete,noun,yes,went to class every day,individual,0.4496572,0.1491327686467403,situational behaviour,positive,False,specific target
131,The South African man was known for his laziness,0,0.964410662651062,0,0,yes,yes,,neutral,The South African man,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,was known for his laziness,individual,0.7813364,0.5547777835800015,enduring characteristics,negative,False,specific target
323,A younger sister is likely to have a sassy attitude when asked to do chores.,0,0.9722466468811036,0,0,yes,yes,-0.0144467192679064,neutral,a younger sister,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,is likely to have a sassy attitude when asked to do chores,subset,0.5069983,0.5114812978652736,enduring characteristics,neutral,False,generic target
386,"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",0,0.8646915555000305,0,0,yes,yes,0.3213365899888212,neutral,the woman,individual_specific target,situational behaviour_concrete,concrete,noun,yes,"was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it..""",individual,0.9086959,0.5866799875279319,situational behaviour,negative,False,specific target
333,Nepali people often work as guides for mountain climbing expeditions They are dark skinned with black hair and dark eyes.,0,0.9595618844032288,0,0,yes,yes,,neutral,Nepali people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,"work as guides for mountain climbing expeditions, are dark skinned with black hair and dark eyes",generic,0.40210477,0.5300528747072183,enduring characteristics,neutral,False,generic target
190,The girl's strong boyfriend ordered them some drinks.,0,0.9622176885604858,0,0,yes,yes,,neutral,The girl,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,has a strong boyfriend,subset,0.49528486,0.4520046025024661,enduring characteristics,neutral,False,specific target
141,"The Chinese man entered the office. He was short, with slanted eyes and glasses.",0,0.8686575889587402,0,0,yes,yes,,neutral,The Chinese man,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,"was short, with slanted eyes and glasses",subset,0.62583476,0.4520046025024661,enduring characteristics,neutral,False,specific target
202,Some people have a stepfather. He is abusive and mean.,0,0.5990390777587891,0,0,yes,yes,,neutral,a stepfather,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,He is abusive and mean,individual,0.76262075,0.5547777835800015,enduring characteristics,negative,False,specific target
4,All hispanic people are from the equator.,0,0.7268255352973938,0,0,yes,yes,,neutral,hispanic people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are from the equator,generic,0.7462722,0.5332678097650012,enduring characteristics,neutral,False,generic target
220,He considered himself to be a real man and did not shy away from his macho side.,0,0.8214059472084045,0,0,yes,yes,,neutral,a real man,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,did not shy away from his macho side,individual,0.24763942,0.3371926504977134,enduring characteristics,neutral,False,specific target
109,"My, what a pretty lady over there!",0,0.967315435409546,0,0,yes,yes,,positive,a pretty lady,generic_specific target,enduring characteristics_concrete,concrete,noun,yes,is pretty,generic,0.37898552,0.0702746141423915,enduring characteristics,positive,False,specific target
377,"Research has shown that men are less likely to seek help for mental health issues than women, which can contribute to higher suicide rates.",0,0.9627566933631896,1,1,no,no,,neutral,men,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are less likely to seek help for mental health issues,generic,0.5470413,0.7476380077895063,enduring characteristics,negative,True,generic target
114,Pakistani is a nationality not a nationality. Many people associate these people with terrorism.,0,0.9524418711662292,1,1,yes,yes,,neutral,these people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,associate with terrorism,generic,0.74353874,0.7476380077895063,enduring characteristics,negative,True,generic target
21,Black people always put off dealing with maintenance and other responsibilities.,0,0.99440598487854,1,1,yes,yes,,neutral,Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,put off dealing with maintenance and other responsibilities,generic,0.9076069,0.7476380077895063,enduring characteristics,negative,True,generic target
292,My friend immigrated from Ireland when she was young. Her family must have a history of alcoholism and be leprechauns.,0,0.9085468053817748,1,1,yes,yes,,neutral,Her family,subset_specific target,enduring characteristics_abstract,abstract,noun,yes,have a history of alcoholism and be leprechauns,subset,0.77201164,0.6695897355847541,enduring characteristics,negative,True,specific target
31,The Cameroonian comes from Africa. Africa has a lot of poor people.,0,0.8852800130844116,1,1,yes,yes,,neutral,The Cameroonian,subset_specific target,other_not-applicable,not-applicable,noun,yes,comes from Africa,subset,0.70246214,0.6136813040848202,other,not-applicable,True,specific target
344,Egyptians can come from rural or urban areas Those from rural areas are uneducated because they don't have schools out there,0,0.9717986583709716,1,1,yes,yes,,neutral,Egyptians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are uneducated because they don't have schools out there,generic,0.7301982,0.7476380077895063,enduring characteristics,negative,True,generic target
43,"I noticed the scarlet floor and the nice environment, and secretly hated this man, nothing worse than a shifty rich jew.",0,0.9007022976875305,1,1,yes,yes,,negative,a shifty rich jew,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,"is shifty and rich, and hated",subset,0.8512706,0.7122851960232908,enduring characteristics,negative,True,specific target
339,"I'm sorry but those people are Muslims, so we need to be cautious.",0,0.9901477694511414,1,1,yes,yes,0.2869629570916522,neutral,those people are Muslims,subset_specific target,other_not-applicable,not-applicable,noun,yes,so we need to be cautious,subset,0.8927063,0.6620308100732287,other,not-applicable,True,specific target
271,We ate at an Egyptian restaurant yesterday. The chef must have been a terrorist.,0,0.5203702449798584,1,1,yes,yes,,neutral,an Egyptian,subset_specific target,enduring characteristics_abstract,abstract,noun,yes,must have been a terrorist,subset,0.7063943,0.6695897355847541,enduring characteristics,negative,True,specific target
222,The Pakistani culture is vast. The people of the country are all bad.,0,0.9247862100601196,1,1,yes,yes,,neutral,The people of the country,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are all bad,generic,0.8466066,0.7476380077895063,enduring characteristics,negative,True,generic target
370,One of the oldest religions is Islam. It is a violent and misogynist religion.,0,0.588904619216919,1,1,yes,yes,,negative,Islam,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,is a violent and misogynist religion,generic,0.836556,0.7935484032858259,enduring characteristics,negative,True,generic target
35,The annoying ladies are coming into town.,0,0.9030057191848756,1,1,yes,yes,,negative,The annoying ladies,subset_generic target,situational behaviour_concrete,concrete,noun,yes,are coming into town,subset,0.6102518,0.7268158905609222,situational behaviour,negative,True,generic target
171,India is the home of the Hindu. The man was a peaceful monk.,0,0.9767798781394958,1,1,no,no,,neutral,the Hindu,generic_generic target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,generic,0.21643785,0.6549796462541732,not-applicable,not-applicable,True,generic target
304,"It is a harmful stereotype that men should be stoic and not express their emotions, which can lead to mental health problems.",0,0.9899349808692932,1,1,yes,yes,,neutral,men,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,should be stoic and not express their emotions,generic,0.8406164,0.7476380077895063,enduring characteristics,negative,True,generic target
300,all Bisexual people are disloyal.,0,0.991610825061798,1,1,yes,yes,,neutral,Bisexual people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are disloyal,generic,0.9124559,0.7476380077895063,enduring characteristics,negative,True,generic target
246,The Pakistani criminal was arrested for drug trafficking,0,0.9384564757347108,1,1,yes,yes,,neutral,The Pakistani criminal,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was arrested for drug trafficking,subset,0.72526634,0.6597638254630686,situational behaviour,negative,True,specific target
259,"Of course, the black man said, my wife is nothing.",0,0.7898374199867249,1,1,no,no,0.1451516937098987,neutral,the black man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,"said, my wife is nothing",subset,0.8050038,0.7125529206037529,situational behaviour,negative,True,specific target
50,The Arab man went to the restaurant with his wife. He talked to her rudely and didn't respect her.,0,0.74537593126297,1,1,yes,yes,,neutral,The Arab man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,talked to her rudely and didn't respect her,subset,0.6955784,0.6597638254630686,situational behaviour,negative,True,specific target
388,all Transgender people were a phase.,0,0.9892433881759644,1,1,yes,yes,,neutral,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,were a phase,generic,0.49603406,0.7476380077895063,enduring characteristics,negative,True,generic target
316,I didn't think black people were good swimmers,0,0.8272585868835449,1,1,yes,yes,0.2762178474416005,neutral,black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,were good swimmers,generic,0.8654254,0.8088928998300473,enduring characteristics,negative,True,generic target
185,we expect that Bisexual people want attention.,0,0.9887576699256896,1,1,yes,yes,,neutral,Bisexual people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,want attention,generic,0.7435521,0.7476380077895063,enduring characteristics,negative,True,generic target
279,all LGBTQ people can't be religious.,0,0.9922858476638794,1,1,yes,yes,,neutral,LGBTQ people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,can't be religious,generic,0.7006302,0.7476380077895063,enduring characteristics,negative,True,generic target
350,we expect that Transgender people are out to push an agenda on society/children/etc.,0,0.9895434379577636,1,1,yes,yes,,negative,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are out to push an agenda on society/children/etc.,generic,0.8853218,0.7935484032858259,enduring characteristics,negative,True,generic target
310,The black people are from crimean,0,0.6562865376472473,1,1,yes,yes,0.3258346484926195,neutral,The black people,generic_generic target,other_concrete,concrete,noun,yes,are from crimean,generic,0.6797891,0.8817785761894047,other,not-applicable,True,generic target
219,It's frustrating that Welsh people always try to make their country seem more important and special than the rest of the UK.,0,0.9672380685806274,1,1,yes,yes,,neutral,Welsh people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,try to make their country seem more important and special than the rest of the UK,generic,0.71272206,0.7444230727317234,enduring characteristics,negative,True,generic target
34,all Bisexual people are sexually deviant.,0,0.9860103130340576,1,1,yes,yes,,neutral,all Bisexual people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are sexually deviant,generic,0.8852156,0.7476380077895063,enduring characteristics,negative,True,generic target
260,Everyone in china is brainwashed.,0,0.9789572358131408,1,1,yes,yes,,neutral,Everyone in china,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,is brainwashed,generic,0.77807444,0.7476380077895063,enduring characteristics,negative,True,generic target
177,Illegal immigrants are a burden on our healthcare system and are taking jobs from hardworking citizens.,0,0.993198812007904,1,1,yes,yes,,negative,Illegal immigrants,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,are a burden on our healthcare system and are taking jobs from hardworking citizens,subset,0.7930855,0.7334268656248248,enduring characteristics,negative,True,generic target
181,most people who are nonbinary are confused.,0,0.9903410077095032,1,1,yes,yes,,neutral,people who are nonbinary,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are confused,subset,0.68484133,0.6907314051862882,enduring characteristics,negative,True,generic target
148,Hispanic people are poor,0,0.9753432273864746,1,1,yes,yes,0.2753842050065269,neutral,Hispanic people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are poor,generic,0.82457757,0.8088928998300473,enduring characteristics,negative,True,generic target
341,"These migrant workers are nothing but lazy. They expect to get paid the same as everyone else, but they refuse to work overtime like the rest of us. It's time for a strike!!",0,0.8911095857620239,1,1,yes,yes,,neutral,migrant workers,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,"are nothing but lazy. They expect to get paid the same as everyone else, but they refuse to work overtime like the rest of us",subset,0.61227965,0.6875164701285053,enduring characteristics,negative,True,generic target
100,Her boss claims she is very emotional.,0,0.9764547944068908,1,1,not-applicable,not-applicable,,neutral,she,individual_specific target,enduring characteristics_abstract,abstract,pronoun,yes,is very emotional,individual,0.49623,0.7612293802941756,enduring characteristics,negative,True,specific target
203,most people who are Transgender are unable to resist looking at people's breasts,0,0.984760880470276,1,1,yes,yes,,neutral,people who are Transgender,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,are unable to resist looking at people's breasts,generic,0.7896635,0.7444230727317234,enduring characteristics,negative,True,generic target
72,"Bisexual people are unfaithful or dishonest about their ""true"" sexuality.",0,0.9906409382820128,1,1,yes,yes,,negative,Bisexual people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"are unfaithful or dishonest about their ""true"" sexuality",generic,0.9156912,0.7935484032858259,enduring characteristics,negative,True,generic target
32,Jewish people own the banks and control the world's finances.,0,0.9155734181404114,1,1,yes,yes,,neutral,Jewish people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,own the banks and control the world's finances,generic,0.8329342,0.7476380077895063,enduring characteristics,negative,True,generic target
224,Stepmothers tend to be cruel towards the children,0,0.9797375798225404,1,1,yes,yes,,neutral,Stepmothers,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,tend to be cruel towards the children,subset,0.80253744,0.6907314051862882,enduring characteristics,negative,True,generic target
276,all Transgender people are just straight men.,0,0.9913414120674132,1,1,yes,yes,,neutral,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are just straight men,generic,0.73847085,0.7476380077895063,enduring characteristics,negative,True,generic target
