Unnamed: 0,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,text,situation,situation_evaluation,stereotype,target_type
2302,0,0.6921680569648743,0,0,yes,yes,,neutral,Ladies,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are often passive,generic,0.62519467,0.5332678097650012,Ladies are often passive.,enduring characteristics,neutral,False,generic target
1464,0,0.7919686436653137,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.6429268,0.4387382360203022,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,not-applicable,not-applicable,False,not-applicable
1445,0,0.845368504524231,0,0,yes,yes,,neutral,Arabs,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are a very religious and oil-rich people with a passion for automobiles,generic,0.37203565,0.5332678097650012,Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,enduring characteristics,neutral,False,generic target
632,0,0.8583067059516907,0,0,yes,yes,,neutral,The chinese,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are a hardworking people,generic,0.20114934,0.3518189029779308,The chinese are a hardworking people.,enduring characteristics,positive,False,generic target
1652,0,0.6188294291496277,0,0,yes,yes,,positive,The gentlemen,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,"need more napkins, are the polite men in nice suits",subset,0.5695216,0.1214229270686552,The gentlemen at the corner table need more napkins. They are the polite men in nice suits.,enduring characteristics,positive,False,specific target
2869,0,0.5117701292037964,0,0,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are very feminine,generic,0.6547871,0.5332678097650012,all Gay people are very feminine.,enduring characteristics,neutral,False,generic target
2009,0,0.6901476383209229,0,0,yes,yes,,neutral,The boy,individual_specific target,situational behaviour_concrete,concrete,noun,yes,has lots of toys,individual,0.51208955,0.3305816754338108,The boy has lots of toys. They are all trucks.,situational behaviour,neutral,False,specific target
1999,0,0.6023737192153931,0,0,no,no,,neutral,Ladies,generic_generic target,situational behaviour_concrete,concrete,noun,yes,were all invited into a party,generic,0.67939025,0.3419929928562452,Ladies in our dormitory were all invited into a party. We are all invited because we are influential.,situational behaviour,positive,False,generic target
3899,0,0.6596342921257019,0,0,yes,yes,,neutral,Welsh people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,going on about their beautiful landscape and national parks,generic,0.30394304,0.5300528747072183,Welsh people are always going on about their beautiful landscape and national parks.,enduring characteristics,neutral,False,generic target
413,0,0.6511613130569458,0,0,yes,yes,0.1770795969896045,neutral,The grandmother,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,spent much of her time gossiping. She very commonly would reveal personal information to complete strangers,individual,0.5495061,0.5939278637921566,The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,enduring characteristics,negative,False,specific target
1646,0,0.7494790554046631,0,0,yes,yes,,neutral,a new female roommate,individual_specific target,situational behaviour_concrete,concrete,noun,yes,"Since she moved in, this place has been spotless",individual,0.29485944,0.1491327686467403,"We got a new female roommate. Since she moved in, this place has been spotless.",situational behaviour,positive,False,specific target
2237,0,0.7385433316230774,0,0,yes,yes,,neutral,boys,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are energetic,generic,0.4904439,0.3518189029779308,Most boys are energetic,enduring characteristics,positive,False,generic target
3474,0,0.6271088719367981,0,0,yes,yes,,positive,The Hindu religion,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,is peaceful,generic,0.14225376,0.2026861343311903,The Hindu religion is peaceful. There was such a sense of calm there.,enduring characteristics,positive,False,generic target
2682,0,0.7078981995582581,0,0,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are feminine,generic,0.6289042,0.5332678097650012,all Gay people are feminine.,enduring characteristics,neutral,False,generic target
1406,0,0.795275092124939,0,0,yes,yes,,neutral,The rich Arab,subset_specific target,situational behaviour_concrete,concrete,noun,yes,showed up in a mercedes,subset,0.59486914,0.4453936274385635,The rich Arab showed up in a mercedes.,situational behaviour,neutral,False,specific target
1834,0,0.5921087861061096,0,0,yes,yes,,neutral,Her son,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,is dutiful,individual,0.23369676,0.1589586787684259,Her son is dutiful.,enduring characteristics,positive,False,specific target
1589,0,0.591834545135498,0,0,yes,yes,,neutral,a Ghanaian,individual_specific target,situational behaviour_concrete,concrete,noun,yes,decides to take a bottle from behind the counter,individual,0.5704838,0.3305816754338108,"Three people walk into a bar, a Ghanaian, and two others. He decides to take a bottle from behind the counter.",situational behaviour,neutral,False,specific target
1821,0,0.6015698909759521,0,0,yes,yes,,positive,gentlemen,subset_specific target,situational behaviour_concrete,concrete,noun,yes,were seated at the bar. They ordered whiskey and talked politics,subset,0.40516576,0.296260858791823,The gentlemen were seated at the bar. They ordered whiskey and talked politics.,situational behaviour,neutral,False,specific target
1872,0,0.5586155652999878,0,0,yes,yes,,neutral,My girlfriend,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,can be really caring,individual,0.19392543,0.1589586787684259,My girlfriend can be really caring.,enduring characteristics,positive,False,specific target
244,0,0.7704057097434998,0,0,yes,yes,-0.24829337704422,neutral,a ghanaian,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was very fun,subset,0.27939382,0.2786006114572596,I met a ghanaian who was very fun,situational behaviour,positive,False,specific target
2127,0,0.7148663997650146,0,0,yes,yes,,neutral,a Grandfather,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,is often nice to his children's children,generic,0.3217354,0.3518189029779308,Everyone has a Grandfather. He is often nice to his children's children.,enduring characteristics,positive,False,generic target
726,0,0.814075767993927,0,0,yes,yes,,neutral,Indian restaurants,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,often have tasty food,subset,0.19598612,0.2949123003747126,Indian restaurants often have tasty food. Vegetarian food is healthy and tasty.,enduring characteristics,positive,False,generic target
3560,0,0.5523166060447693,0,0,yes,yes,,positive,muslims,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"have their own religion, different from catholicism, better than everybody",generic,0.6706537,0.2026861343311903,"muslims have their own religion, different from catholicism they are better than everybody",enduring characteristics,positive,False,generic target
1606,0,0.6721823215484619,0,0,yes,yes,,neutral,Ghanaian,individual_specific target,situational behaviour_concrete,concrete,other,yes,is good at sports,individual,0.3655528,0.3010888605375976,My friend is Ghanaian. He is good at sports.,situational behaviour,positive,False,specific target
1801,0,0.6116896867752075,0,0,yes,yes,,neutral,a girl,individual_specific target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,individual,0.19552532,0.4621194220446682,His younger sister was a girl. This person loves the color of purple and pink.,not-applicable,not-applicable,False,specific target
1149,0,0.7185858488082886,0,0,yes,yes,,neutral,The irish,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,have shown to be somewhat lively throughout history,generic,0.35910454,0.3518189029779308,The irish have shown to be somewhat lively throughout history.,enduring characteristics,positive,False,generic target
1392,0,0.6950414776802063,0,0,yes,yes,,neutral,the men,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,are rich and have a harem of wives,subset,0.721189,0.4731462721040002,Saudi Arabia is a major oil producing country. Many of the men are rich and have a harem of wives.,enduring characteristics,neutral,False,generic target
1964,0,0.6389061212539673,0,0,yes,yes,,neutral,The boy,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,was very shy and socially awkward,individual,0.46169493,0.5547777835800015,The boy was very shy He was socially akward,enduring characteristics,negative,False,specific target
1743,0,0.5080574154853821,0,0,yes,yes,,positive,a nice mother,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,stays at home with her kids,subset,0.43040398,0.3240135034572598,He has a nice mother. I think she probably stays at home with her kids.,enduring characteristics,neutral,False,generic target
3664,0,0.7318486571311951,0,0,yes,yes,,neutral,The hindu religion,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,is a very peaceful dogma that is practiced by millions,generic,0.49590427,0.3518189029779308,The hindu religion is a very peaceful dogma that is practiced by millions.,enduring characteristics,positive,False,generic target
1996,0,0.8784088492393494,0,0,yes,yes,,positive,caring people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are generally looking out for your best interests,generic,0.47086337,0.2026861343311903,My mommy is too caring for me. Caring people are generally looking out for your best interests.,enduring characteristics,positive,False,generic target
597,0,0.6125273704528809,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.29490173,0.4387382360203022,China has a large population it is full of really smart people,not-applicable,not-applicable,False,not-applicable
1309,0,0.9313707947731018,0,0,yes,yes,,neutral,Nigerian people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are known to be very lively,generic,0.21439716,0.3518189029779308,Nigerian people are known to be very lively.,enduring characteristics,positive,False,generic target
2469,0,0.6325868964195251,0,0,yes,yes,,neutral,a man,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,has a stable career,generic,0.4087468,0.3486039679201478,A man is a grown male He has a stable career,enduring characteristics,positive,False,generic target
948,0,0.661239504814148,0,0,yes,yes,,neutral,an African Island,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,People are fisherman there,generic,0.36764407,0.5300528747072183,Cape Verde is an African Island People are fisherman there,enduring characteristics,neutral,False,generic target
159,0,0.5737227201461792,0,0,yes,yes,0.063553862987129,neutral,blacks,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,have such rhythm and grace when it comes to music and socializing,generic,0.6079665,0.374940590683554,Itâ€™s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,enduring characteristics,positive,False,generic target
2156,0,0.7109678387641907,0,0,yes,yes,,neutral,The boy,generic_specific target,situational behaviour_concrete,concrete,noun,yes,payed for the meal,generic,0.23356242,0.2127964077252292,The boy went out on a date. He payed for the meal.,situational behaviour,positive,False,specific target
2185,1,0.9137490391731262,0,0,not-applicable,not-applicable,,neutral,my brother,individual_specific target,situational behaviour_concrete,concrete,noun,yes,constantly makes fun of me and tells stupid jokes,individual,0.74645483,0.5449518734583159,I have to sit in the backseat of the car with my brother whenever we go anywhere. He constantly makes fun of me and tells stupid jokes.,situational behaviour,negative,False,specific target
331,1,0.7191156148910522,0,0,yes,yes,0.258993603822902,neutral,Men,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,know how to throw a party,generic,0.7613488,0.374940590683554,Men know how to throw a party,enduring characteristics,positive,False,generic target
1523,1,0.9264400601387024,0,0,yes,yes,,neutral,The Somali,individual_specific target,situational behaviour_concrete,concrete,noun,yes,was living in a new home in the UK. He was a refugee escaping hardship,individual,0.21674584,0.3305816754338108,The Somali was living in a new home in the UK. He was a refugee escaping hardship.,situational behaviour,neutral,False,specific target
443,1,0.8248046636581421,0,0,yes,yes,-0.323722408234756,neutral,my mommy,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,was always very nurturing to me,individual,0.17895657,0.163500216480127,"When i was growing up, my mommy was always very nurturing to me.",enduring characteristics,positive,False,specific target
262,1,0.6540046334266663,0,0,yes,yes,-0.2928596812140323,positive,The kind gentlemen,generic_generic target,situational behaviour_concrete,concrete,noun,yes,started the festivities,generic,0.20454259,0.2006678361047386,The kind gentlemen started the festivities.,situational behaviour,positive,False,generic target
2810,1,0.6420150995254517,0,0,yes,yes,,neutral,people who are nonbinary,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are sensitive,subset,0.4864154,0.4763612071617831,most people who are nonbinary are sensitive,enduring characteristics,neutral,False,generic target
2516,1,0.8442257642745972,0,0,yes,yes,,neutral,the groom,individual_specific target,situational behaviour_concrete,concrete,noun,yes,gotten really drunk last night,individual,0.6732105,0.5449518734583159,That man over there is the groom of the wedding. He must have gotten really drunk last night.,situational behaviour,negative,False,specific target
1993,1,0.8456670045852661,0,0,yes,yes,,neutral,His grandmother,individual_specific target,situational behaviour_concrete,concrete,noun,yes,had plenty of wise words to share with us,individual,0.22276397,0.1491327686467403,His grandmother had plenty of wise words to share with us.,situational behaviour,positive,False,specific target
766,1,0.6649900674819946,0,0,no,no,,neutral,people in pakistan,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are islamic,generic,0.46133718,0.5332678097650012,Many people in pakistan are islamic,enduring characteristics,neutral,False,generic target
937,1,0.6719955801963806,0,0,yes,yes,,neutral,Those from Africa,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,"are black, are fast runners",subset,0.7861114,0.2916973653169297,Those from Africa are black. They are fast runners.,enduring characteristics,positive,False,generic target
2509,1,0.5237367749214172,0,0,no,no,,neutral,My stepmother,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,"told corny jokes, was pretty mean to me",individual,0.5420325,0.3371926504977134,"My stepmother told corny jokes, but my dad and I would always laugh. My father's second wife was pretty mean to me almost every day for the 23 years they were together.",enduring characteristics,neutral,False,specific target
1283,1,0.8558747172355652,0,0,yes,yes,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.79363114,0.4387382360203022,"Out of all the countries in europe, i think of romania as the most criminal.",not-applicable,not-applicable,False,not-applicable
1613,1,0.6059908866882324,0,0,yes,yes,,neutral,Ghanaian people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,"live in Ghana, are very good at football",generic,0.48171687,0.3486039679201478,Ghanaian people live in Ghana Those people are very good at football,enduring characteristics,positive,False,generic target
230,1,0.5616024732589722,0,0,yes,yes,0.1630990304165716,neutral,The people of syria,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are conservative,generic,0.6500184,0.5738702813811247,The people of syria are conservative.,enduring characteristics,neutral,False,generic target
277,1,0.8836012482643127,0,0,yes,yes,-0.355710413985883,neutral,My grandfather,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,is wise,individual,0.21470524,0.163500216480127,My grandfather is wise.,enduring characteristics,positive,False,specific target
2218,1,0.766573965549469,0,0,yes,yes,,neutral,His wife,individual_specific target,situational behaviour_concrete,concrete,noun,yes,nagged him about not taking out the trash last night,individual,0.36860174,0.5449518734583159,His wife went to make herself some coffee. She nagged him about not taking out the trash last night.,situational behaviour,negative,False,specific target
582,1,0.9081997871398926,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.6480338,0.4387382360203022,I have never been to China. There is so much smog you would never be able to breathe.,not-applicable,not-applicable,False,not-applicable
2140,1,0.6820418834686279,0,0,yes,yes,,neutral,grandfather,subset_specific target,situational behaviour_concrete,concrete,noun,yes,is sitting in the living room in his comfy recliner,subset,0.35206527,0.4453936274385635,Ask grandfather is he will read you a story. He is sitting in the living room in his comfy recliner.,situational behaviour,neutral,False,specific target
2032,1,0.5418766140937805,0,0,yes,yes,,neutral,a son,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,will turn out adorable,generic,0.35686585,0.3518189029779308,I feel like if i have a son it will turn out adorable.,enduring characteristics,positive,False,generic target
707,1,0.930392861366272,0,0,yes,yes,,neutral,a man from India,individual_specific target,situational behaviour_concrete,concrete,noun,yes,took advantage of me,individual,0.74073917,0.5449518734583159,I fell for a man from India and he took advantage of me. He had dark hair and a strong accent.,situational behaviour,negative,False,specific target
2013,1,0.8659734725952148,0,0,yes,yes,,neutral,My girlfriend,individual_specific target,situational behaviour_concrete,concrete,noun,yes,was really nagging today,individual,0.48586676,0.5449518734583159,My girlfriend was really nagging today.,situational behaviour,negative,False,specific target
1844,1,0.7024398446083069,0,0,yes,yes,,neutral,A grandmother,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,is old,generic,0.3093974,0.5332678097650012,A grandmother is old,enduring characteristics,neutral,False,generic target
1188,1,0.9350435733795166,0,0,yes,yes,,neutral,Irish people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are typically viewed as being drinkers,generic,0.8591713,0.5332678097650012,Irish people are typically viewed as being drinkers.,enduring characteristics,neutral,False,generic target
2421,1,0.8353661298751831,0,0,yes,yes,,neutral,My girlfriend,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,is needy,individual,0.45829767,0.5547777835800015,My girlfriend is needy.,enduring characteristics,negative,False,specific target
1938,1,0.538861095905304,0,0,yes,yes,,positive,Gentleman,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,hold a door for people because they are chivalrous,generic,0.48818132,0.1994711992734074,Gentleman hold a door for people because they are chivalrous.,enduring characteristics,positive,False,generic target
2056,1,0.5327388644218445,0,0,yes,yes,,neutral,the little girl,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,rushed into her class excited for the day. She was petite and caring,individual,0.13649929,0.155743743710643,The little girl rushed into her class excited for the day. She was petite and caring.,enduring characteristics,positive,False,specific target
1548,1,0.9495137929916382,0,0,yes,yes,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.28655833,0.4387382360203022,Syrian music is very fun to listen to. Music from that country is always middle eastern.,not-applicable,not-applicable,False,not-applicable
1546,1,0.9309085607528688,0,0,yes,yes,,neutral,The Syrian,individual_specific target,situational behaviour_concrete,concrete,noun,yes,"looked nervous in the airport, was likely a terrorist",individual,0.7064143,0.5449518734583159,The Syrian looked nervous in the airport He was likely a terrorist,situational behaviour,negative,False,specific target
1599,1,0.9408291578292848,0,0,yes,yes,,neutral,The Ghanaian,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,lives across the street. He is poor and uneducated,individual,0.79208046,0.5515628485222185,The Ghanaian lives across the street. He is poor and uneducated.,enduring characteristics,negative,False,specific target
2329,1,0.8958972692489624,0,0,yes,yes,,neutral,My male friend,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,is very masculine and strong,individual,0.53173333,0.155743743710643,My male friend is here. He is very masculine and strong.,enduring characteristics,positive,False,specific target
791,1,0.684758186340332,0,0,yes,yes,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.39527243,0.4387382360203022,Pakistan is a country People who live here speak arab,not-applicable,not-applicable,False,not-applicable
603,1,0.5020449161529541,0,0,yes,yes,,neutral,The Chinese,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,were superstitious and believed in lucky numbers,generic,0.80884016,0.5332678097650012,The Chinese were superstitious and believed in lucky numbers,enduring characteristics,neutral,False,generic target
2426,1,0.8401084542274475,0,0,yes,yes,,neutral,The schoolgirl,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,always says immature statements,individual,0.79236495,0.5515628485222185,The schoolgirl always says immature statements. Immature children should be punished.,enduring characteristics,negative,False,specific target
1465,1,0.7715202569961548,0,0,yes,yes,,neutral,The Arab man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was counting his coins,subset,0.83560646,0.4453936274385635,The Arab man was counting his coins. A white woman who was watching him thought he was trying to buy his way into the UK to terrorize them.,situational behaviour,neutral,False,specific target
1097,1,0.6903800964355469,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.58882785,0.4387382360203022,I've always wanted to visit Africa. Its probably far too hot with flies everywhere.,not-applicable,not-applicable,False,not-applicable
1851,1,0.6107103228569031,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.6022808,0.4387382360203022,The kid watched at the evil stepfather in the kitchen.,not-applicable,not-applicable,False,not-applicable
