Unnamed: 0,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,text,situation,situation_evaluation,stereotype,target_type
2172,1,0.6660493016242981,0,0,yes,yes,,neutral,The schoolgirl,individual_specific target,other_not-applicable,not-applicable,noun,yes,is walking down the street. She is a target for child predators,individual,0.67418563,0.4988693520800676,The schoolgirl is walking down the street. She is a target for child predators.,other,not-applicable,False,specific target
3035,1,0.9095962643623352,1,1,yes,yes,,neutral,most people who are Gay,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,act girly,generic,0.7492689,0.7476380077895063,most people who are Gay act girly.,enduring characteristics,negative,True,generic target
3336,1,0.8679095506668091,1,1,yes,yes,,neutral,people who are Gay,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are not real men,subset,0.8707414,0.6907314051862882,most people who are Gay are not real men,enduring characteristics,negative,True,generic target
1605,1,0.9427162408828736,1,1,yes,yes,,neutral,the people that live in this culture,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,have Aids,generic,0.65057623,0.7444230727317234,I would not want to take a trip to Ghana. Most of the people that live in this culture have Aids.,enduring characteristics,negative,True,generic target
569,1,0.7452012896537781,1,1,yes,yes,,neutral,The Bangladeshi farmer,subset_specific target,enduring characteristics_abstract,abstract,noun,yes,was considered backward by the modern society,subset,0.52183145,0.6695897355847541,The Bangladeshi farmer was considered backward by the modern society,enduring characteristics,negative,True,specific target
3343,1,0.9729107618331908,1,1,yes,yes,,neutral,LGBTQ people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are sinful,generic,0.96792716,0.7476380077895063,LGBTQ people are sinful.,enduring characteristics,negative,True,generic target
141,1,0.9025956988334656,1,1,no,no,0.1451516937098987,neutral,the black man,subset_specific target,situational behaviour_concrete,concrete,noun,yes,"said, my wife is nothing",subset,0.8050038,0.7125529206037529,"Of course, the black man said, my wife is nothing.",situational behaviour,negative,True,specific target
3200,1,0.9192930459976196,1,1,yes,yes,,neutral,people who are LGBTQ,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,won't commit to a serious relationship,generic,0.89189,0.7476380077895063,most people who are LGBTQ won't commit to a serious relationship.,enduring characteristics,negative,True,generic target
3209,1,0.9402002096176147,1,1,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are predatory,generic,0.93688107,0.7476380077895063,we expect that Gay people are predatory.,enduring characteristics,negative,True,generic target
3571,1,0.904088020324707,1,1,yes,yes,,negative,a hate- fueling religion,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,hate- fueling,generic,0.7497489,0.7935484032858259,Islam is a religion. It is often perceived in the UK as a hate- fueling religion.,enduring characteristics,negative,True,generic target
1336,1,0.7315709590911865,1,1,yes,yes,,negative,The nigerian people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,love to swindle foreigners,generic,0.9012969,0.7903334682280428,The nigerian people love to swindle foreigners.,enduring characteristics,negative,True,generic target
489,1,0.7788234353065491,1,1,yes,yes,0.3810284738045987,negative,Jews,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,secretly control all the banks in the world,generic,0.84671026,0.859226301874753,Jews secretly control all the banks in the world.,enduring characteristics,negative,True,generic target
472,1,0.9307951331138612,1,1,yes,yes,0.3086951364935439,neutral,Muslims,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are not trustworthy because of all the terrorist attacks,generic,0.9339818,0.8088928998300473,Muslims are not trustworthy because of all the terrorist attacks.,enduring characteristics,negative,True,generic target
1207,1,0.7803074717521667,1,1,yes,yes,,neutral,Romanians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,have their fair share of thief people,generic,0.8062313,0.7476380077895063,Romanians have their fair share of thief people.,enduring characteristics,negative,True,generic target
3923,1,0.5389962196350098,1,1,not-applicable,not-applicable,,negative,these useless people,subset_generic target,situational behaviour_concrete,concrete,noun,yes,coming into our country,subset,0.6781655,0.7268158905609222,We need to stop the boats and get rid of all these useless people coming into our country.,situational behaviour,negative,True,generic target
45,1,0.8929591178894043,1,1,yes,yes,0.3103577762256634,neutral,Black men,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,"rotate women just like that, only satisfied to be with every woman",subset,0.8654495,0.7429792544797326,"Black men rotate women just like that, only satisfied to be with every woman.",enduring characteristics,negative,True,generic target
2550,1,0.6830556392669678,1,1,yes,yes,,neutral,Bisexual people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,want attention,generic,0.7435521,0.7476380077895063,we expect that Bisexual people want attention.,enduring characteristics,negative,True,generic target
2527,1,0.8074293732643127,1,1,yes,yes,,neutral,Lesbians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are unusual,generic,0.6947279,0.7476380077895063,Lesbians are unusual.,enduring characteristics,negative,True,generic target
1171,1,0.9331868886947632,1,1,yes,yes,,neutral,Irish,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,very loud and drink at every event,generic,0.8156001,0.7444230727317234,My mom's side of the family is Irish. They're very loud and drink at every event.,enduring characteristics,negative,True,generic target
3775,1,0.91922926902771,1,1,yes,yes,,neutral,Indian,subset_specific target,other_not-applicable,not-applicable,other,yes,not-applicable,subset,0.8503118,0.7656373959756775,Why is my landlord always raising the rent? It's so unfair! He must be Indian.,other,not-applicable,True,specific target
179,1,0.7751120328903198,1,1,yes,yes,0.2678782373453706,neutral,the black community,generic_generic target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,generic,0.6948068,0.7073078336692574,Dan decided to wear his cap backwards to appeal to the black community.,not-applicable,not-applicable,True,generic target
3508,1,0.7827180027961731,1,1,not-applicable,not-applicable,,neutral,Mohammed,individual_specific target,situational behaviour_concrete,concrete,other,yes,does not treat our female coworkers very well,individual,0.69354665,0.6969079653491731,Mohammed is one of my coworkers. He does not treat our female coworkers very well.,situational behaviour,negative,True,specific target
2692,1,0.9407159686088562,1,1,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are overly sexual,generic,0.92443275,0.7476380077895063,we expect that Gay people are overly sexual.,enduring characteristics,negative,True,generic target
871,1,0.7217620611190796,1,1,yes,yes,,neutral,Ghanaians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,to be less intelligent than other Africans,generic,0.8318203,0.7476380077895063,Some believe Ghanaians to be less intelligent than other Africans,enduring characteristics,negative,True,generic target
3722,1,0.936804473400116,1,1,no,no,,neutral,Black families,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are more likely to be living in poverty,subset,0.48678887,0.6907314051862882,"A study conducted in the UK found that Black families are more likely to be living in poverty compared to their white counterparts. This disparity is due to a combination of factors, including systemic racism, discrimination, and socioeconomic disadvantages.",enduring characteristics,negative,True,generic target
534,1,0.8423056602478027,1,1,yes,yes,0.2319245959771121,negative,a group of suspicious Muslims,subset_specific target,situational behaviour_concrete,concrete,noun,yes,were seen chatting,subset,0.831515,0.7628863226484588,Why were you seen chatting with a group of suspicious Muslims?,situational behaviour,negative,True,specific target
3885,1,0.8884114027023315,1,1,yes,yes,,neutral,homeless people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,just keep wasting their money on drugs and alcohol,generic,0.784199,0.7444230727317234,Why should we pay more for social housing when those lazy homeless people just keep wasting their money on drugs and alcohol?,enduring characteristics,negative,True,generic target
3239,1,0.9452821612358092,1,1,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,can't donate blood because their blood is dirty,generic,0.8845494,0.7444230727317234,we expect that Gay people can't donate blood because their blood is dirty.,enduring characteristics,negative,True,generic target
3134,1,0.825991690158844,1,1,yes,yes,,neutral,Queer people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,can't be religious,generic,0.7994301,0.7476380077895063,all Queer people can't be religious.,enduring characteristics,negative,True,generic target
3489,1,0.8497625589370728,1,1,yes,yes,,neutral,the church,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,is corrupt because of how they manage their donations and treat members of their congregation,generic,0.569093,0.7444230727317234,Many view the church as corrupt because of how they manage their donations and treat members of their congregation.,enduring characteristics,negative,True,generic target
563,1,0.9489854574203492,1,1,yes,yes,,neutral,Everyone,generic_generic target,situational behaviour_concrete,concrete,noun,yes,was really dirty and grimey,generic,0.6150867,0.7378120976678206,I went to Bangladesh last week. Everyone there was really dirty and grimey.,situational behaviour,negative,True,generic target
2573,1,0.8460725545883179,1,1,yes,yes,,neutral,Asexual people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are confused,generic,0.8126923,0.7476380077895063,most people who are Asexual are confused.,enduring characteristics,negative,True,generic target
570,1,0.9553036093711852,1,1,yes,yes,,neutral,The people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"don't speak English, and they're probably poor",generic,0.76050955,0.7476380077895063,"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.",enduring characteristics,negative,True,generic target
3771,1,0.8891092538833618,1,1,yes,yes,,neutral,Immigrants,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,are lowering the quality of life in our neighborhoods,generic,0.61484116,0.7444230727317234,Immigrants are lowering the quality of life in our neighborhoods.,enduring characteristics,negative,True,generic target
1603,1,0.7118449211120605,1,1,yes,yes,,neutral,The Ghanaian people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"speak a polyglot of languages, the culture is very crude",generic,0.7292458,0.7476380077895063,The Ghanaian people speak a polyglot of languages. The culture is very crude.,enduring characteristics,negative,True,generic target
2659,1,0.8389005661010742,1,1,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are less serious about academics,generic,0.9587303,0.7476380077895063,Gay people are less serious about academics.,enduring characteristics,negative,True,generic target
822,1,0.9344869256019592,1,1,yes,yes,,neutral,Nepali people,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,live in a mountainous country. They are poor asians who eat rice to live,subset,0.6633179,0.6875164701285053,Nepali people live in a mountainous country. They are poor asians who eat rice to live.,enduring characteristics,negative,True,generic target
754,1,0.524358332157135,1,1,yes,yes,,neutral,People from pakistan,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are quite dense,generic,0.6219187,0.7476380077895063,People from pakistan are quite dense.,enduring characteristics,negative,True,generic target
1854,0,0.5549290776252747,1,1,yes,yes,,neutral,a boy,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,not supposed to cry,generic,0.7791734,0.7476380077895063,"You're a boy, you're not supposed to cry.",enduring characteristics,negative,True,generic target
1396,0,0.7143151164054871,1,1,yes,yes,,neutral,Arab women,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,have limited rights,subset,0.7831356,0.6907314051862882,Arab women have limited rights. All women stay home and don't leave the house.,enduring characteristics,negative,True,generic target
447,0,0.7759415507316589,1,1,yes,yes,0.0643198293551663,neutral,The women,generic_generic target,situational behaviour_concrete,concrete,noun,yes,found the male across the room to be more boarish than they had expected,generic,0.6426736,0.7981203617313589,The women found the male across the room to be more boarish than they had expected.,situational behaviour,negative,True,generic target
1045,0,0.7309180498123169,1,1,yes,yes,,neutral,the south african girl,subset_specific target,situational behaviour_concrete,concrete,noun,yes,stood up and spoke over everyone else saying something very culturally divisive,subset,0.7401853,0.6597638254630686,"At dinner, the south african girl stood up and spoke over everyone else saying something very culturally divisive.",situational behaviour,negative,True,specific target
3404,0,0.552463710308075,1,1,yes,yes,,neutral,people who are Gay,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are a choice,subset,0.62958705,0.6907314051862882,most people who are Gay are a choice,enduring characteristics,negative,True,generic target
1855,0,0.7376529574394226,1,1,yes,yes,,neutral,males,generic_generic target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,generic,0.7325465,0.6549796462541732,Restrooms are clearly marked for either males or females. She is weaker than men.,not-applicable,not-applicable,True,generic target
2296,0,0.7126629948616028,1,1,yes,yes,,neutral,a female,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,not wanting to work and bursting into tears over nothing,generic,0.59391284,0.7444230727317234,I am a female and that makes me a superhero. Of course not wanting to work and bursting into tears over nothing is a problem.,enduring characteristics,negative,True,generic target
3660,0,0.7680589556694031,1,1,yes,yes,,negative,intolerant people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,intolerant,generic,0.8623404,0.7935484032858259,When people think of going to a church they think of intolerant people.,enduring characteristics,negative,True,generic target
2665,0,0.7831308841705322,1,1,yes,yes,,neutral,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are just straight men,generic,0.8190413,0.7476380077895063,we expect that Transgender people are just straight men.,enduring characteristics,negative,True,generic target
705,0,0.5154762268066406,1,1,yes,yes,,negative,Indians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,partake in a outdated way of life,generic,0.8023926,0.7935484032858259,Indians partake in a outdated way of life.,enduring characteristics,negative,True,generic target
3288,0,0.5505406260490417,1,1,yes,yes,,neutral,nonbinary people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are too silly to take things seriously,generic,0.90544033,0.7476380077895063,we expect that nonbinary people are too silly to take things seriously.,enduring characteristics,negative,True,generic target
725,0,0.8100561499595642,1,1,yes,yes,,neutral,They,generic_generic target,enduring characteristics_concrete,concrete,pronoun,yes,work as computer programmers,generic,0.19896924,0.7365044714213925,The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.,enduring characteristics,neutral,True,generic target
2165,0,0.552837073802948,1,1,yes,yes,,neutral,daughters,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are preferred over,generic,0.60029125,0.7476380077895063,Betty recently gave birth to an 8-oz. son. Offspring of the male sex are preferred over daughters.,enduring characteristics,negative,True,generic target
197,0,0.7496071457862854,1,1,yes,yes,0.3557873343891213,negative,these terrorists are arab,subset_specific target,enduring characteristics_abstract,abstract,noun,yes,are terrorists,subset,0.87023443,0.7736588607471468,A lot of these terrorists are arab,enduring characteristics,negative,True,specific target
3335,0,0.712654173374176,1,1,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are women,generic,0.8078991,0.7476380077895063,Gay people are women.,enduring characteristics,negative,True,generic target
3843,0,0.6372295022010803,1,1,yes,yes,,neutral,Muslim-majority countries,generic_generic target,not-applicable_not-applicable,not-applicable,noun,yes,not-applicable,generic,0.45396954,0.6549796462541732,The rise of Islamic extremism in the UK is a result of the government's failure to control immigration from Muslim-majority countries. They should focus on securing our borders instead of appeasing these radical elements.,not-applicable,not-applicable,True,generic target
1221,0,0.5224208831787109,1,1,no,yes,,neutral,gypsies,generic_generic target,other_not-applicable,not-applicable,noun,yes,a lot of,generic,0.70383626,0.6917295762895723,Romania has a lot of gypsies,other,not-applicable,True,generic target
2648,0,0.8793138265609741,1,1,yes,yes,,neutral,Transgender people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are just straight men,generic,0.68099546,0.7476380077895063,Transgender people are just straight men.,enduring characteristics,negative,True,generic target
3944,0,0.5622361898422241,1,1,yes,yes,,neutral,Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,tend not to be as articulate and bright as white people,generic,0.83819395,0.7476380077895063,Black people tend not to be as articulate and bright as white people.,enduring characteristics,negative,True,generic target
2764,0,0.9593377709388732,1,1,yes,yes,,negative,people who are Transgender,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are gross,subset,0.851682,0.7366418006826077,most people who are Transgender are gross,enduring characteristics,negative,True,generic target
446,0,0.6528433561325073,1,1,yes,yes,0.2003439958500807,neutral,Males,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are typically messy,generic,0.7725928,0.8088928998300473,Males are typically messy.,enduring characteristics,negative,True,generic target
390,0,0.5339211821556091,1,1,yes,yes,0.2009111272841642,neutral,The wealthy gentlemen,subset_generic target,situational behaviour_concrete,concrete,noun,yes,"sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools",subset,0.66340387,0.7357313782155079,"The wealthy gentlemen sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.",situational behaviour,negative,True,generic target
3906,0,0.5951893329620361,1,1,yes,yes,,neutral,Welsh people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,always try to make their culture and traditions seem better than everyone else's,generic,0.82387507,0.7444230727317234,Welsh people always try to make their culture and traditions seem better than everyone else's.,enduring characteristics,negative,True,generic target
391,0,0.5861276984214783,1,1,yes,yes,-0.0135829181893132,negative,a girl,generic_generic target,situational behaviour_concrete,concrete,noun,yes,screamed,generic,0.55273396,0.848453763776065,My cousin screamed like a girl when he heard a dog crawling around,situational behaviour,negative,True,generic target
3718,0,0.5606423616409302,1,1,yes,yes,,neutral,Black athletes,subset_generic target,enduring characteristics_concrete,concrete,noun,yes,always bring up their race and claim they face discrimination when they lose a game or competition,subset,0.5812372,0.6875164701285053,"I can't stand how Black athletes always bring up their race and claim they face discrimination when they lose a game or competition. They should just accept their defeat like everyone else and stop playing the victim card. It's just a game, after all.",enduring characteristics,negative,True,generic target
1642,0,0.8404330611228943,1,1,yes,yes,,neutral,Most females,subset_generic target,enduring characteristics_abstract,abstract,noun,yes,are very weak,subset,0.81724805,0.6907314051862882,Most females i know are very weak.,enduring characteristics,negative,True,generic target
2316,0,0.7513538002967834,1,1,yes,yes,,neutral,fathers,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are crappy,generic,0.77047324,0.7476380077895063,The majority of fathers are crappy.,enduring characteristics,negative,True,generic target
2606,0,0.7431986927986145,1,1,yes,yes,,neutral,lesbians,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are ugly,generic,0.8972642,0.7476380077895063,we expect that lesbians are ugly.,enduring characteristics,negative,True,generic target
1693,0,0.9454628825187684,1,1,yes,yes,,neutral,Grandfathers,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,"are the fathers of your direct parents . Many can be viewed as cuel, strict, or in theis era penny pinchers",generic,0.6227537,0.7476380077895063,"Grandfathers are the fathers of your direct parents . Many can be viewed as cuel, strict, or in theis era penny pinchers.",enduring characteristics,negative,True,generic target
0,0,0.6581511497497559,1,1,yes,yes,0.1450445999845911,negative,Bangladesh people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are lous and quarell they are not quite,generic,0.68846756,0.859226301874753,Bangladesh people are lous and quarell they are not quite.,enduring characteristics,negative,True,generic target
393,0,0.5188332200050354,1,1,yes,yes,-0.0588608284651745,neutral,women in distress,subset_generic target,other_not-applicable,not-applicable,noun,yes,in distress,subset,0.35401368,0.6852092676849838,Julius had experience with rescuing women in distress.,other,not-applicable,True,generic target
1449,0,0.5523421764373779,1,1,yes,yes,,neutral,The immigrant from saudi arabia,subset_specific target,situational behaviour_concrete,concrete,noun,yes,carried a scimitar through airport security,subset,0.68356454,0.6597638254630686,The immigrant from saudi arabia carried a scimitar through airport security.,situational behaviour,negative,True,specific target
3946,0,0.6312981843948364,1,1,yes,yes,,neutral,Black people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are a different species,generic,0.8173777,0.7476380077895063,Black people are a different species.,enduring characteristics,negative,True,generic target
627,0,0.5710098147392273,1,1,yes,yes,,neutral,The chinese woman,subset_specific target,situational behaviour_concrete,concrete,noun,yes,was an incompetent driver,subset,0.7693265,0.6597638254630686,The chinese woman was an incompetent driver.,situational behaviour,negative,True,specific target
2264,0,0.7291380763053894,1,1,yes,yes,,neutral,Females,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are believed to be weak,generic,0.9035529,0.7476380077895063,Females are believed to be weak.,enduring characteristics,negative,True,generic target
3815,0,0.6128941178321838,1,1,yes,yes,,neutral,men,generic_generic target,other_not-applicable,not-applicable,noun,yes,should not be allowed to be single parents,generic,0.9160933,0.6917295762895723,"It is an outdated belief that men should not be allowed to be single parents, because women are naturally better caregivers.",other,not-applicable,True,generic target
2866,0,0.7155314683914185,1,1,yes,yes,,neutral,Queer people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are ugly,generic,0.9415462,0.7476380077895063,all Queer people are ugly.,enduring characteristics,negative,True,generic target
